"","treatment","group_id","group_estim","true_prob"
"1","ftf","gq17m7ds",0.87,0.7
"2","ftf","gq17m7ds",0.68,0.9
"3","ftf","gq17m7ds",0.45,0.55
"4","ftf","gq17m7ds",0.63,0.8
"5","ftf","gq17m7ds",0.2,0.2
"6","ftf","gq17m7ds",0.34,0.1
"7","ftf","gq17m7ds",0.48,0.6
"8","ftf","gq17m7ds",0.46,0.3
"9","ftf","gq17m7ds",0.39,0.45
"10","ftf","gq17m7ds",0.28,0.4
"11","ftf","g2pceqm7",0.77,0.8
"12","ftf","g2pceqm7",0.5,0.55
"13","ftf","g2pceqm7",0.37,0.4
"14","ftf","g2pceqm7",0.82,0.7
"15","ftf","g2pceqm7",0.44,0.1
"16","ftf","g2pceqm7",0.58,0.6
"17","ftf","g2pceqm7",0.52,0.3
"18","ftf","g2pceqm7",0.6,0.9
"19","ftf","g2pceqm7",0.41,0.45
"20","ftf","g2pceqm7",0.15,0.2
"21","ftf","ora7ougz",0.575,0.6
"22","ftf","ora7ougz",0.475,0.9
"23","ftf","ora7ougz",0.25,0.4
"24","ftf","ora7ougz",0.85,0.7
"25","ftf","ora7ougz",0.675,0.8
"26","ftf","ora7ougz",0.475,0.3
"27","ftf","ora7ougz",0.25,0.1
"28","ftf","ora7ougz",0.4,0.55
"29","ftf","ora7ougz",0.5,0.45
"30","ftf","ora7ougz",0.075,0.2
"31","ftf","i1m3esy1",0.29,0.45
"32","ftf","i1m3esy1",NA,0.4
"33","ftf","i1m3esy1",0.89,0.8
"34","ftf","i1m3esy1",0.55,0.55
"35","ftf","i1m3esy1",0.06,0.2
"36","ftf","i1m3esy1",0.39,0.1
"37","ftf","i1m3esy1",0.63,0.9
"38","ftf","i1m3esy1",0.63,0.6
"39","ftf","i1m3esy1",0.88,0.7
"40","ftf","i1m3esy1",0.55,0.3
"41","ftf","b7pyhams",0.52,0.3
"42","ftf","b7pyhams",0.35,0.4
"43","ftf","b7pyhams",0.22,0.1
"44","ftf","b7pyhams",0.85,0.8
"45","ftf","b7pyhams",0.6,0.6
"46","ftf","b7pyhams",0.82,0.7
"47","ftf","b7pyhams",0.45,0.45
"48","ftf","b7pyhams",0.7,0.9
"49","ftf","b7pyhams",0.5,0.55
"50","ftf","b7pyhams",0.1,0.2
"51","ftf","9ksjwhn2",0.6,0.9
"52","ftf","9ksjwhn2",0.55,0.3
"53","ftf","9ksjwhn2",NA,0.6
